EC Reference Number,Entity name
PP665,"Nine Per Cent Growth Party"
PP666,"A Strong Voice For Clydebank"
PP667,"Direct Democracy (Communist) Party"
PP668,"Direct Democracy (Communist) Party"
PP669,"Independent Health Coalition"
PP67,"Alliance For Green Socialism"
PP671,"Nationwide Reform Party"
PP672,"Independent Republican Party"
PP673,"Independents of North Yorkshire"
PP674,"Local Independent Save Swaffham Community Hospital"
PP675,"Elm Park Residents' Association"
PP676,"Independents Party of Dover District"
PP677,"Albion Party"
PP678,"Senate Party"
PP679,"Senate Party"
PP68,"The Democratic Party"
PP680,"Traditional Unionist Voice - TUV"
PP681,"Fur Play Party"
PP682,"Smokers U.K."
PP683,"Independents to Save Queen Mary's Hospital"
PP684,"Libertarian Party"
PP685,"Libertarian Party"
PP686,"Pelsall Independent Alliance"
PP687,"Carmarthenshire Ratepayers' Association"
PP688,"Grassroots Democracy Party"
PP689,"Fianna Fáil - The Republican Party"
PP69,"The Democratic Party"
PP690,"Progressive Action Party"
PP691,"ENG"
PP692,"ENG"
PP693,"English People's Party"
PP694,"The Free England Party"
PP695,"Left List"
PP696,"Left List"
PP699,"Generalist Party"
PP7,"Liberal Unionist Party"
PP70,"Democratic Unionist Party - D.U.P."
PP702,"Llais Gwynedd - The Voice of Gwynedd"
PP704,"First For Kirkby"
PP705,"Cut Tax on Petrol and Diesel"
PP706,"Democratic Nationalists"
PP707,"Democratic Nationalists"
PP708,"The Liverpool Independent Party"
PP709,"The PPE"
PP71,"Featherstone Labour 1st"
PP710,"True Democracy Party"
PP711,"Kirklees Save Our Services"
PP712,"Proletarian"
PP713,"Public Services Coalition"
PP714,"Campaign for Independent Politicians"
PP715,"The Popular Voice Party"
PP716,"The Popular Voice Party"
PP719,"1st Pension Party"
PP72,"Weekly Worker"
PP720,"The Miss Great Britain Party"
PP721,"PLC Party"
PP723,"British People's Alliance"
PP724,"British People's Alliance"
PP725,"Individual Capitalist Party"
PP726,"Individual Capitalist Party"
PP727,"Kingdom of God Christ's Ambassadors"
PP728,"Social Liberalist Party"
PP729,"Edinburgh Residents Party"
PP73,"Socialist Labour Party"
PP730,"Yes 2 Europe"
PP731,"Democratic Independence Party"
PP732,"Libertas UK"
PP733,"Lincolnshire Independents Lincolnshire First"
PP734,"Your Decision"
PP735,"Weybridge Independents"
PP736,"United Kingdom First"
PP737,"Moorlands Democratic Alliance"
PP739,"NOTA"
PP74,"Residents Associations of Epsom and Ewell"
PP740,"Sunderland First"
PP741,"The Unity Party"
PP742,"Pro Democracy: Libertas.eu"
PP743,"Libertas NI"
PP744,"No2EU:Yes to Democracy"
PP745,"The Citizens' Action Party (UK)"
PP746,"Jury Team"
PP747,"Jury Team"
PP748,"The Individuals Labour and Tory (TILT)"
PP749,"The Individuals Labour and Tory (TILT)"
PP75,"The Walton Society"
PP750,"Fair Pay Fair Trade Party"
PP751,"Community First"
PP752,"easyVote"
PP753,"Hands Off Tamworth's Schools"
PP754,"TODOS"
PP755,"TODOS"
PP756,"Northampton - Save Our Public Services"
PP757,"The Pensioners and Families Party"
PP758,"British Jobs First"
PP759,"British Jobs First"
PP76,"Asian League"
PP760,"Wigan Independents"
PP761,"Independent Save Our Green Belt"
PP762,"The Sutton Independent Group"
PP763,"Newid"
PP764,"Best of a Bad Bunch"
PP765,"The Youth Party"
PP766,"Alliance for Workers' Liberty"
PP767,"Put an Honest Man into Parliament"
PP768,"Scottish Democratic Alliance"
PP769,"The Bragster Party"
PP77,"Plaid Cymru - The Party of Wales"
PP770,"Pirate Party UK"
PP771,"RAW UK"
PP772,"Public Services Not Private Profit"
PP773,"People Before Profit Alliance"
PP775,"Democratic Reform Party"
PP776,"Abolish Half Parliamentary Seats Now"
PP777,"United People's Party"
PP778,"The Birthday Party"
PP779,"English Radical Alliance"
PP78,"Communist Party of Britain"
PP780,"Liberators"
PP781,"The P.N.D.P."
PP782,"The Parliamentary Reform Party"
PP783,"Communities United Party"
PP784,"Harold Wood Hill Park Residents Association"
PP785,"Bushra Irfan of Blackburn"
PP786,"The Buckinghamshire Campaign for Democracy"
PP787,"The New Patriotic Conservatives"
PP788,"The Cornish Democrats"
PP789,"Lewisham People Before Profit"
PP79,"Christian Peoples Alliance"
PP790,"A Vote Against MP Expense Abuse"
PP791,"The Awesome Party"
PP792,"Britainthinks"
PP793,"The British Constitution Party"
PP794,"Land Party"
PP795,"Keep Bucks Blue"
PP796,"Selly Oak Democracy Party"
PP797,"Impact Party"
PP798,"United Voice"
PP799,"Reduce Tax On Beer"
PP8,"Liberal Unionist Party"
PP80,"Hackney 1st"
PP800,"Beavers Cranford Party"
PP801,"Local Liberals People Before Politics Party"
PP802,"Mainstream Party"
PP803,"Cambridge Socialists"
PP804,"Trade Unionist and Socialist Coalition"
PP805,"Central Party for Reform"
PP806,"Anti-Political Political Party"
PP807,"European Nationalists"
PP808,"European Nationalists"
PP809,"Scottish Unionist Party"
PP81,"Direct Customer Service Party"
PP810,"Common Good and Justice for All"
PP811,"INDEPENDENT Leave-the-EU Alliance"
PP812,"INDEPENDENT Leave-the-EU Alliance"
PP813,"People's Front of Liberation Tigers"
PP814,"Representative Democracy Party"
PP815,"Centre Democrats"
PP816,"Integrity UK"
PP817,"The Free Democratic Party"
PP818,"Your Right To Democracy Party Limited"
PP819,"REPRESENT"
PP82,"Socialist Alliance"
PP820,"REPRESENT"
PP821,"New Independent Centralists"
PP822,"The Individual Reform Party"
PP823,"Communist League Election Campaign"
PP824,"Independents Federation UK"
PP825,"United Kingdom People Quality Life Party"
PP826,"Wales - Ireland - Scotland - England United Party"
PP827,"Freedom and Responsibility"
PP828,"Anticapitalists - Workers Power"
PP829,"Hugh Salmon for Battersea Party"
PP83,"Ulster Unionist Party"
PP830,"Independent Voice for Halifax"
PP831,"The Residents' Association of Barnet"
PP833,"Tamsin Omond To The Commons"
PP834,"Humanity"
PP835,"Humanity"
PP836,"Restoration Party"
PP837,"Restoration Party"
PP838,"Independent Ealing Acton Communities Public Services"
PP839,"Christian Movement for Great Britain"
PP84,"UK Independence Party (UK I P)"
PP840,"Solihull and Meriden Residents Association"
PP841,"True Turquoise"
PP842,"Scrap Members Allowances"
PP843,"Church of the Militant Elvis"
PP844,"Communities United Party"
PP845,"Apolitical Democrats"
PP846,"People's Administration"
PP847,"The Scottish Jacobite Party"
PP848,"Give Our Children A Future Party"
PP849,"Trust"
PP85,"UK Independence Party (UKIP)"
PP850,"The East Yorkshire Independents Party"
PP851,"A Better Way to Govern"
PP852,"The Macclesfield Independent"
PP853,"The Camberwell Party"
PP854,"The Joy of Talk"
PP855,"Basingstoke Community Party"
PP856,"All The South Party"
PP857,"Blue Environment Party"
PP858,"The Better Britain Party"
PP859,"Peoples Party Essex"
PP86,"Reform 2000 Party"
PP860,"The U(niversal) Party"
PP861,"Cut The Deficit"
PP862,"National Alliance"
PP863,"The Magna Carta Party"
PP864,"Independent People Together"
PP865,"The Justice & Anti-Corruption Party"
PP866,"Free Public Transport Party"
PP867,"Newclear Outline (NO)"
PP868,"Jannen will put Brent North First"
PP869,"Bromsgrove Independent Conservative"
PP87,"National Democrats"
PP870,"Nobody Party"
PP871,"The Science Party"
PP872,"Save King George Hospital"
PP873,"Citizens for Undead Rights and Equality"
PP874,"Convox"
PP875,"Social Governance"
PP876,"Matriarchal Party United Kingdom Great Britain"
PP877,"The Groove Party"
PP878,"Somali United Intellectuals Expatriates Democratic Party"
PP879,"Voices for Women"
PP88,"The Scottish Freedom Referendum Party"
PP881,"Stockton Independents Association"
PP882,"We Demand A Referendum Now"
PP883,"It's Our County (Herefordshire)"
PP884,"Spiritual Unity Party"
PP885,"Community Partnership (Northern Ireland)"
PP886,"The Party for Poole People Ltd."
PP887,"One England"
PP888,"Scottish Homeland Party"
PP89,"Revolutionary Communist Party Britain (Marxist-Leninist)"
PP890,"Nottinghamshire Independents"
PP893,"A-Team Properties"
PP894,"TEA Party"
PP895,"Community Voice"
PP896,"South Woodham Ferrers Independents"
PP897,"Peterborough Independents"
PP898,"Congleton First"
PP9,"Centre Party"
PP90,"Liberal Democrats"
PP900,"Angus Independents Representatives (AIR)"
PP901,"Eston Independent Party"
PP904,"Ban Bankers Bonuses"
PP905,"Newcastle upon Tyne Community First Party"
PP906,"For England Party"
PP91,"Northern Ireland Women's Coalition"
PP92,"Lincoln Independent Alliance"
PP93,"The True British Alliance Party"
PP94,"Highlands and Islands Alliance - Càirdeas"
PP95,"Wessex Regionalists"
PP96,"Handforth 'Ratepayers' Association (Independent)"
PP97,"World Taamils Party"
PP98,"The Rock 'N Roll Loony Party"
PP99,"Natural Law Party Northern Ireland"
PPm111,"The English Freedom Movement"
PPm114,"The Doncaster First Party"
PPm1698,"Independents for Frome"
PPm1709,"Heart of Puriton"
PPm1711,"Dunmow First"
PPm1712,"Northchurch Residents Association"
PPm1832,"True Brits"
PPm1859,"The Homeland Party"
PPm1885,"The Monmouth Party"
PPm1887,"The Pluralist Party"
PPm1905,"The Welsh Independent Party"
PPm1906,"The Cromwell Republican Commonwealth Party"
PPm1919,"Peasedown 1st"
PPm197,"The United Party"
PPm1970,"Gift Economy Party"
PPm1971,"Plaid Glyndwr"
PPm1991,"Pettits Residents Association"
PPm200,"The English Alliance Party"
PPm2053,"Open Liskeard"
PPm2055,"The Yorkshire Party"
PPm208,"Iranian Civil Rights Committee"
PPm2101,"Yarm Residents Association"
PPm2107,"Polegate Residents' Association"
PPm2126,"British Unicorn Party"
PPm2142,"Polegate Independent"
PPm2162,"The Globalization Liberation Dream Party"
PPm2332,"The Cornish Nationalist Party"
PPm2469,"Independents for Arlesey"
PPm2536,"Privatise for Prosperity"
PPm2596,"Wells Independents"
PPm2647,"Stone Independents"
PPm2653,"Neston Action"
PPm2675,"Independents for Frome"
PPm2713,"Community Candidate Party"
PPm284,"Hadley & Leegomery Residents Association"
PPm303,"Willingdon Residents' Association"
PPm310,"The Grumpy Old Men Political Party"
PPm386,"Commonwealth Party"
PPm441,"Town Council Campaigner"
PPm502,"British Unicorn Party"
PPm738,"Town Council Supporters"
PPm774,"British Unicorn Party"
PPm832,"White Rose GB"
PPm891,"Great Aycliffe Independents"
PPm892,"Stone's Independent Voice"
PPm899,"Peasedown 1st"
